object_type,COM_x,COM_y,COM_z,x,y,z,orient_x,orient_y,orient_z,orient_w,held_fixed
bin,0.0,0.0,0.0,0.0,0.0,0.4000000000000001,-0.7071067811865475,0.0,0.0,0.7071067811865476,1
cracker_box,-0.01,-0.01,0.08,-0.01009494867061976,0.08851048949097463,0.08732413496948825,0.49905611368860486,0.4972339911259279,0.5134271988834107,0.48999373965974463,0
cracker_box,-0.01,-0.01,0.08,-0.009594472270951799,-0.08626720972784728,0.08732885104625246,0.503865279489896,0.492021435756691,0.5077537087744411,0.4962064672153045,0
master_chef_can,-0.015,-0.01,0.06,0.11131717884485937,-0.0010689331924749901,0.06214103760502183,0.00017975961194539102,0.0007858612986866426,0.006849401761313284,0.9999762176192059,0
master_chef_can,-0.015,-0.01,0.06,-0.10878406523515503,-0.0013227124066369964,0.06209437265708355,0.0006827005592310916,0.0007174074104046871,0.003840522571719877,0.9999921347855343,0
cracker_box,-0.01,-0.01,0.08,-0.1508477767054428,-0.10119674155452825,0.08732845242740606,0.6724613364406512,0.20926659281342203,0.22685852826047873,0.6727097831013046,0
cracker_box,-0.01,-0.01,0.08,-0.1515110070199494,0.10101223788394105,0.08732260601135938,0.24039608498895138,0.6623111925035498,0.6730879026108461,0.22473602729745593,0
cracker_box,-0.01,-0.01,0.08,0.15141092474237894,-0.14016232731270056,0.087328615994848,0.16514437796615108,0.6846247863282258,0.6938660896224977,0.15022012529347822,0
cracker_box,-0.01,-0.01,0.08,0.151084669361182,0.14073277320949099,0.08735649262181203,0.6842675862866818,0.1549299879945451,0.15990574211622946,0.6944096217764171,0
pudding_box,0.0,0.0,0.015,-0.01184886753127474,-0.015129329295475155,0.017331301868027775,0.0021527496710670242,-0.0032187063185938865,-0.2506967409668782,0.9680579268138215,0
