object_type,COM_x,COM_y,COM_z,x,y,z,orient_x,orient_y,orient_z,orient_w,held_fixed
bin,0.0,0.0,0.0,0.0,0.0,0.4000000000000001,-0.7071067811865475,0.0,0.0,0.7071067811865476,1
cracker_box,-0.02,-0.04,0.16,0.07030702499371215,0.0809973369613177,0.05767493312616389,0.49905611368860486,0.4972339911259279,0.5134271988834107,0.48999373965974463,0
cracker_box,-0.02,-0.04,0.16,0.070643184767997,-0.09559411089243308,0.05774968088267154,0.503865279489896,0.492021435756691,0.5077537087744411,0.4962064672153045,0
master_chef_can,0.02,-0.02,0.06,0.14645083356508878,-0.010588537650850056,0.062082412049263694,0.00017975961194539102,0.0007858612986866426,0.006849401761313284,0.9999762176192059,0
master_chef_can,0.02,-0.02,0.06,-0.07370833368343124,-0.011053539342989598,0.062030629060038214,0.0006827005592310916,0.0007174074104046871,0.003840522571719877,0.9999921347855343,0
cracker_box,-0.02,-0.04,0.16,-0.11129677147387357,-0.17162685734713706,0.05774269952821323,0.6724613364406512,0.20926659281342203,0.22685852826047873,0.6727097831013046,0
cracker_box,-0.02,-0.04,0.16,-0.09444947194023363,0.15813569009468675,0.057642774106966554,0.24039608498895138,0.6623111925035498,0.6730879026108461,0.22473602729745593,0
cracker_box,-0.02,-0.04,0.16,0.19467359348753643,-0.07194806379477896,0.0577455846127478,0.16514437796615108,0.6846247863282258,0.6938660896224977,0.15022012529347822,0
cracker_box,-0.02,-0.04,0.16,0.1770982338194972,0.06395717050018715,0.05856758342406332,0.6842675862866818,0.1549299879945451,0.15990574211622946,0.6944096217764171,0
pudding_box,0.03,0.02,0.015,0.024086861038634867,-0.012205222689278353,0.017601510501085497,0.0021527496710670242,-0.0032187063185938865,-0.2506967409668782,0.9680579268138215,0
