object_type,COM_x,COM_y,COM_z,x,y,z,orient_x,orient_y,orient_z,orient_w,held_fixed
bin,0.0,0.0,0.0,0.0,0.0,0.4,-0.7071067811865475,0.0,0.0,0.7071067811865476,1
pudding_box,0.0,0.0,0.015,0.09909877908836387,-0.12717895874233442,0.017346281231777977,-0.0006986296439343484,-0.005106448268364624,-0.8553993293244239,0.5179434558849343,0
tomato_soup_can,-0.01,0.085,0.04,-0.1426203353670182,-0.12631446726626655,0.03419649191071329,0.5100652656524298,-0.4856140515819675,0.7098882670203656,0.008430066896801904,0
master_chef_can,-0.015,-0.01,0.06,-0.1406729239893044,0.10915544446369933,0.05123392175822227,-0.6181732744927871,0.33955065221564057,0.3402855916729396,0.6219106635060987,0
wrench,0.01,-0.04,0.004,-0.06312608443536914,-0.0352703180309476,0.008114178630988064,0.9723974013537708,0.23212416325646132,0.016354534176454227,-0.017152139364884425,0
tomato_soup_can,-0.01,0.085,0.04,-0.036619844426389686,-0.1300885201470793,0.03445103531405356,0.01303005240907235,-0.7050577629937022,0.708067010317615,0.03694424821819936,0
master_chef_can,-0.015,-0.01,0.06,0.13957771430300386,0.04714813479842494,0.08186854668333318,0.39063989252750575,0.9205425060802943,-0.000552096533870549,0.0012899825298210775,0
cracker_box,-0.01,-0.01,0.08,0.06204287602084643,0.15902838714803755,0.08519386646238715,0.0012697330010420364,-0.0018237033158344704,0.6981384388889716,0.7159593438387346,0
hammer,-0.06,0.06,0.015,0.022840830596195,-0.025527871650288216,0.03595427613304871,0.8747464314700646,0.458322731679538,-0.015676306098161005,-0.15656694313714684,0
cracker_box,-0.01,-0.01,0.08,0.12175353082326747,-0.08611017818630368,0.12243203838918514,-0.04025840874237328,0.21830633163047272,0.0035950338464071623,0.9750429128131854,0
hammer,-0.06,0.06,0.015,0.006359575141862042,0.07643045284268155,0.06043310777752715,0.7845124100599185,0.4802193429544051,0.057645757565178785,-0.38808069747045476,0
cracker_box,-0.01,-0.01,0.08,-0.041092858307663044,-0.06080978794580695,0.10531819621487522,0.4648204037623552,-0.49561048222553095,0.5312501270576326,0.5060489548014372,0
